INGRESO_BIN,EDAD,N_INTENTOS,TIEMPO_DESDE_EGRESO,PUNTAJE_MINEDU,ES_MIGRANTE,NIVEL_DIFICULTAD,COLEGIO_TIPO_GESTION,RATIO_COMPETENCIA,FACULTAD_COD,SEXO_COD,ANIO_POSTULA
0,17.0,0,1,6.85,0,3,0,0.8055790363482671,11,0,2022
0,21.0,0,4,7.7,0,3,0,0.8294051627384961,11,1,2024
0,21.0,1,3,7.6,0,3,0,0.8128205128205128,11,1,2024
1,22.0,2,5,7.7,0,5,0,0.016442451420029897,1,1,2025
0,17.0,0,1,4.8,1,3,0,0.8264040846097739,11,1,2019
1,19.0,0,2,6.85,0,3,0,0.010736196319018405,0,0,2019
0,19.0,0,3,7.9,0,3,1,0.8790178571428572,11,1,2017
0,17.0,0,1,6.7,0,3,0,0.8443223443223443,11,0,2020
0,18.0,1,2,6.7,0,3,0,0.8761744966442953,11,0,2021
0,18.0,0,2,6.4,0,3,0,0.8443223443223443,11,1,2020
0,17.0,0,1,7.9,0,3,0,0.8232189973614775,11,1,2016
0,18.0,1,2,7.9,0,3,0,0.8025999037072701,11,1,2017
1,18.0,2,2,7.9,0,5,0,0.013392857142857142,6,1,2017
0,18.0,0,1,7.0,0,3,0,0.8306997742663657,11,1,2021
0,21.0,0,5,7.9,0,3,1,0.821319018404908,11,1,2019
0,21.0,1,5,7.9,0,3,0,0.8264040846097739,11,1,2019
0,19.0,0,2,7.0,0,3,0,0.818620992534036,11,0,2022
0,19.0,0,3,6.900994407311418,1,3,0,0.8232189973614775,11,1,2016
0,21.0,0,4,3.4,0,3,0,0.818620992534036,11,1,2022
0,19.0,0,3,7.9,0,3,0,0.8232189973614775,11,1,2016
0,17.0,0,1,6.85,0,3,0,0.8055790363482671,11,1,2022
0,18.0,1,2,6.85,0,3,0,0.8078048780487805,11,1,2023
1,18.0,2,2,6.85,0,4,0,0.02206461780929866,5,1,2023
0,19.0,0,2,6.7,0,3,0,0.8761744966442953,11,1,2021
0,19.0,1,2,6.7,0,3,0,0.8306997742663657,11,1,2021
0,20.0,2,3,6.7,0,3,0,0.818620992534036,11,1,2022
1,20.0,3,3,6.7,0,5,0,0.0283178360101437,6,1,2022
0,17.0,0,1,7.9,0,3,0,0.8232189973614775,11,1,2016
0,18.0,1,2,7.9,0,3,0,0.8025999037072701,11,1,2017
0,18.0,2,2,7.9,0,3,0,0.8790178571428572,11,1,2017
0,19.0,0,2,6.4,0,3,0,0.8443223443223443,11,1,2020
0,20.0,1,3,6.4,0,3,0,0.8761744966442953,11,1,2021
0,20.0,0,4,6.900994407311418,0,3,0,0.8080336291452592,11,0,2018
0,17.0,0,1,6.4,0,4,0,0.01763803680981595,3,1,2019
0,18.0,0,2,7.9,0,3,1,0.8025999037072701,11,1,2017
0,19.0,0,2,6.7,0,3,0,0.8761744966442953,11,0,2021
1,19.0,1,2,6.7,0,5,0,0.029796839729119638,4,0,2021
0,17.0,0,2,6.85,0,3,0,0.8264040846097739,11,1,2019
0,20.0,0,2,6.7,0,3,0,0.8761744966442953,11,1,2021
0,20.0,1,2,6.7,0,3,0,0.8306997742663657,11,1,2021
0,21.0,2,3,6.7,0,3,0,0.818620992534036,11,1,2022
0,18.0,0,2,6.4,0,3,0,0.8443223443223443,11,1,2020
0,19.0,1,2,6.7,0,3,0,0.8761744966442953,11,1,2021
1,21.0,2,5,6.4,0,5,0,0.03979511426319937,4,1,2023
0,19.0,0,2,7.1,0,3,0,0.8128205128205128,11,1,2024
0,19.0,0,2,2.7,1,3,0,0.8092986603624901,11,1,2023
0,17.0,0,1,7.1,0,3,1,0.8092986603624901,11,1,2023
0,19.0,0,3,6.7,0,3,0,0.8055790363482671,11,0,2022
0,20.0,1,4,6.7,0,3,0,0.8078048780487805,11,0,2023
0,21.0,2,5,6.7,0,3,0,0.8128205128205128,11,0,2024
0,17.0,0,1,6.85,0,3,0,0.8055790363482671,11,1,2022
0,18.0,1,2,6.85,0,3,0,0.8078048780487805,11,1,2023
0,19.0,2,3,6.85,0,3,0,0.8128205128205128,11,1,2024
1,20.0,3,4,6.85,0,3,0,0.011210762331838564,0,1,2025
0,19.0,0,2,7.9,0,3,0,0.8790178571428572,11,0,2017
1,19.0,0,2,7.1,0,3,0,0.016025641025641024,2,1,2024
0,17.0,0,1,6.900994407311418,0,3,0,0.8264040846097739,11,0,2019
0,22.0,0,5,6.7,0,3,0,0.8128205128205128,11,1,2024
0,23.0,1,5,7.0,0,3,0,0.8026905829596412,11,1,2025
0,21.0,0,5,7.9,0,3,0,0.8790178571428572,11,0,2017
1,22.0,0,5,7.9,0,4,0,0.01636976408281175,3,1,2017
0,18.0,0,2,7.9,0,3,0,0.8080336291452592,11,0,2018
0,20.0,0,3,6.900994407311418,0,3,0,0.8025999037072701,11,0,2017
1,20.0,1,3,6.900994407311418,0,3,0,0.007142857142857143,0,0,2017
0,20.0,0,3,6.900994407311418,1,3,0,0.821319018404908,11,1,2019
1,20.0,1,4,6.900994407311418,1,5,0,0.018599562363238512,6,1,2019
0,18.0,0,1,6.85,0,3,0,0.8055790363482671,11,1,2022
0,19.0,1,2,6.85,0,3,0,0.8078048780487805,11,1,2023
0,18.0,0,2,6.85,0,3,1,0.821319018404908,11,0,2019
0,19.0,1,3,6.85,0,3,0,0.8443223443223443,11,0,2020
0,20.0,2,4,6.85,0,3,0,0.8761744966442953,11,0,2021
0,18.0,0,2,1.5,1,3,0,0.8232189973614775,11,0,2016
1,18.0,0,2,6.900994407311418,1,3,0,0.008577878103837472,2,0,2021
0,19.0,0,3,6.900994407311418,0,3,0,0.8264040846097739,11,0,2019
0,21.0,1,5,6.900994407311418,1,3,1,0.8761744966442953,11,0,2021
0,18.0,0,1,6.900994407311418,0,3,0,0.8055790363482671,11,0,2022
1,18.0,0,2,7.9,0,5,1,0.022867194371152155,6,1,2016
0,17.0,0,1,7.1,0,3,0,0.8092986603624901,11,0,2023
0,18.0,1,2,7.1,0,3,0,0.8294051627384961,11,0,2024
0,18.0,2,2,7.1,0,3,0,0.8128205128205128,11,0,2024
0,19.0,3,3,7.1,0,3,0,0.8026905829596412,11,0,2025
0,18.0,0,2,6.900994407311418,0,3,0,0.8790178571428572,11,1,2017
0,17.0,0,1,6.85,0,3,0,0.8515777171795871,11,1,2018
0,18.0,1,2,6.85,0,3,0,0.821319018404908,11,1,2019
0,18.0,2,2,6.85,0,3,0,0.8264040846097739,11,1,2019
1,19.0,3,3,6.85,0,2,0,0.009157509157509158,9,1,2020
0,17.0,0,1,6.900994407311418,1,3,0,0.8025999037072701,11,1,2017
0,17.0,0,1,7.1,0,3,0,0.8128205128205128,11,1,2024
0,18.0,0,2,7.9,0,3,0,0.8232189973614775,11,1,2016
0,19.0,1,3,7.9,0,3,0,0.8025999037072701,11,1,2017
0,19.0,2,2,7.9,0,3,0,0.8790178571428572,11,1,2017
0,18.0,0,2,6.900994407311418,0,3,1,0.818620992534036,11,1,2022
0,18.0,0,2,7.9,0,3,1,0.8232189973614775,11,1,2016
1,19.0,1,3,7.9,0,4,0,0.031295137217140105,5,1,2017
0,19.0,0,3,7.9,0,3,0,0.8025999037072701,11,0,2017
